id,target
1,0
2,3
3,1
4,0
5,0
6,0
7,3
8,3
9,0
10,4
11,0
12,0
13,0
14,0
15,1
16,2
17,0
18,0
19,1
20,3
21,1
22,4
23,0
24,1
25,2
26,2
27,3
28,4
29,2
30,3
31,3
32,2
33,2
34,2
35,2
36,0
37,1
38,3
39,2
40,2
41,2
42,4
43,1
44,0
45,2
46,0
47,2
48,1
49,2
50,2
51,1
52,2
53,0
54,1
55,2
56,1
57,3
58,4
59,2
60,0
61,4
62,1
63,2
64,0
65,3
66,2
67,2
68,3
69,1
70,3
71,2
72,0
73,3
74,2
75,3
76,0
77,0
78,0
79,0
80,0
81,1
82,4
83,0
84,2
85,0
86,0
87,1
88,0
89,2
90,2
91,4
92,1
93,3
94,0
95,2
96,4
97,0
98,1
99,3
100,2
101,4
102,3
103,0
104,2
105,2
106,2
107,0
108,2
109,0
110,4
111,2
112,2
113,0
114,2
115,2
116,4
117,0
118,0
119,2
120,0
121,4
122,0
123,1
124,1
125,3
126,3
127,3
128,2
129,2
130,0
131,0
132,1
133,1
134,2
135,1
136,2
137,4
138,0
139,0
140,3
141,0
142,0
143,1
144,1
145,2
146,2
147,2
148,0
149,2
150,3
151,2
152,1
153,4
154,3
155,2
156,2
157,4
158,1
159,2
160,1
161,2
162,0
163,1
164,3
165,2
166,1
167,3
168,1
169,4
170,4
171,2
172,0
173,2
174,3
175,4
176,0
177,0
178,0
179,1
180,0
181,2
182,3
183,3
184,0
185,1
186,1
187,1
188,1
189,4
190,1
191,2
192,0
193,1
194,3
195,3
196,4
197,2
198,1
199,0
200,4
201,4
202,1
203,2
204,2
205,4
206,3
207,0
208,4
209,2
210,0
211,2
212,0
213,0
214,2
215,2
216,0
217,2
218,2
219,0
220,4
221,2
222,3
223,0
224,3
225,0
226,0
227,0
228,2
229,2
230,1
231,0
232,0
233,1
234,2
235,0
236,4
237,2
238,1
239,0
240,0
241,0
242,2
243,3
244,0
245,2
246,3
247,4
248,0
249,2
250,2
251,0
252,0
253,0
254,1
255,0
256,0
257,4
258,2
259,2
260,0
261,0
262,2
263,0
264,3
265,0
266,0
267,0
268,2
269,1
270,0
271,4
272,3
273,4
274,1
275,1
276,2
277,3
278,0
279,3
280,4
281,2
282,0
283,2
284,1
285,4
286,4
287,2
288,2
289,2
290,2
291,0
292,1
293,3
294,4
295,4
296,2
297,3
298,2
299,0
300,0
301,4
302,2
303,0
304,4
305,4
306,1
307,2
308,1
309,1
310,1
311,4
312,3
313,1
314,2
315,2
316,0
317,0
318,0
319,3
320,4
321,2
322,0
323,2
324,1
325,4
326,3
327,4
328,4
329,2
330,4
331,2
332,0
333,4
334,4
335,4
336,4
337,1
338,2
339,2
340,1
341,2
342,3
343,3
344,0
345,0
346,4
347,0
348,0
349,0
350,0
351,3
352,0
353,1
354,3
355,2
356,4
357,4
358,1
359,4
360,3
361,4
362,4
363,3
364,3
365,0
366,2
367,2
368,4
369,0
370,0
371,2
372,1
373,0
374,1
375,3
376,0
377,4
378,0
379,2
380,0
381,0
382,1
383,2
384,2
385,3
386,4
387,3
388,2
389,0
390,0
391,0
392,0
393,0
394,0
395,1
396,0
397,2
398,1
399,0
400,4
401,4
402,3
403,1
404,0
405,2
406,2
407,3
408,4
409,1
410,2
411,1
412,0
413,0
414,1
415,3
416,4
417,1
418,0
419,0
420,2
421,0
422,4
423,4
424,4
425,0
426,4
427,3
428,3
429,2
430,4
431,1
432,1
433,3
434,0
435,1
436,1
437,1
438,2
439,0
440,1
441,2
442,0
443,1
444,0
445,4
446,0
447,2
448,4
449,1
450,1
451,2
452,3
453,0
454,0
455,0
456,4
457,3
458,1
459,3
460,4
461,0
462,0
463,0
464,2
465,2
466,2
467,4
468,0
469,3
470,4
471,2
472,3
473,0
474,4
475,0
476,0
477,2
478,0
479,0
480,3
481,1
482,0
483,0
484,0
485,0
486,4
487,4
488,2
489,0
490,2
491,0
492,1
493,2
494,0
495,0
496,1
497,2
498,0
499,0
500,0
501,2
502,0
503,0
504,4
505,0
506,4
507,2
508,1
509,4
510,1
511,4
512,0
513,3
514,3
515,3
516,1
517,0
518,0
519,0
520,1
521,4
522,2
523,4
524,2
525,1
526,1
527,0
528,0
529,1
530,3
531,2
532,1
533,4
534,1
